105,1,Pending,54,2016-11-17
44,2,Pending,55,2017-2-20
101,3,Pending,55,2017-1-3
1,4,Pending,56,2017-10-15
5,5,Canceled,56,2017-4-9
28,6,Canceled,57,2017-8-15
87,7,Canceled,57,2016-12-1
4,8,Shipped,59,2015-4-9
41,9,Shipped,59,2017-5-11
82,44,Shipped,60,2016-12-3
102,45,Shipped,61,2016-12-20
26,46,Shipped,62,2016-8-16
43,47,Shipped,62,2015-5-2
53,48,Shipped,62,2016-9-29
81,49,Shipped,62,2016-12-13
83,16,Shipped,62,2016-12-2
93,17,Shipped,62,2016-10-27
94,1,Shipped,62,2017-10-27
79,2,Shipped,64,2016-12-14
80,3,Shipped,64,2016-12-13
2,4,Shipped,,2015-4-26
3,5,Shipped,,2017-4-26
6,6,Shipped,,2015-4-9
7,7,Shipped,,2017-2-15
8,8,Shipped,,2017-2-14
9,9,Shipped,,2017-2-14
10,44,Pending,,2017-1-24
11,45,Shipped,,2016-11-29
12,46,Shipped,,2016-11-29
13,47,Shipped,,2016-11-29
14,48,Shipped,,2017-9-28
15,49,Shipped,,2017-9-27
16,16,Pending,,2016-9-27
17,17,Shipped,,2017-9-27
18,18,Shipped,,2016-8-16
19,19,Shipped,,2016-5-27
20,20,Shipped,,2017-5-27
21,21,Pending,,2017-5-27
22,22,Canceled,,2016-5-26
23,23,Shipped,,2016-9-7
24,41,Shipped,,2016-9-7
25,42,Shipped,,2016-8-24
27,43,Canceled,,2016-8-16
29,44,Shipped,,2017-8-14
30,45,Shipped,,2017-8-12
31,46,Canceled,,2017-8-12
32,47,Shipped,,2017-3-9
33,48,Shipped,,2017-3-7
34,49,Shipped,,2016-6-12
35,50,Shipped,,2016-9-5
36,51,Shipped,,2017-9-5
37,52,Shipped,,2017-2-19
38,53,Canceled,57,2015-5-31
39,54,Shipped,62,2016-10-22
40,55,Shipped,62,2017-5-11
42,56,Canceled,64,2015-5-3
45,57,Shipped,64,2017-2-20
46,58,Pending,62,2017-2-20
47,59,Canceled,62,2016-10-10
48,60,Canceled,64,2016-10-10
49,61,Shipped,55,2016-10-2
50,62,Pending,55,2016-10-2
51,63,Shipped,59,2016-10-2
52,64,Shipped,60,2016-10-2
54,65,Shipped,56,2016-9-29
55,66,Pending,59,2016-9-29
56,67,Canceled,55,2016-9-29
57,68,Shipped,57,2017-8-24
58,69,Shipped,57,2016-8-24
59,70,Shipped,59,2015-6-29
60,1,Shipped,62,2017-6-30
61,2,Shipped,54,2016-6-30
62,3,Shipped,62,2015-6-30
63,4,Shipped,61,2016-6-30
64,5,Shipped,64,2016-6-21
65,6,Shipped,64,2013-6-21
66,7,Canceled,61,2016-6-21
67,8,Canceled,61,2016-6-14
68,9,Pending,,2016-6-13
69,44,Canceled,54,2017-3-17
70,45,Canceled,61,2017-2-21
71,46,Shipped,54,2017-2-21
72,47,Shipped,64,2016-2-17
73,48,Shipped,,2016-2-17
74,49,Shipped,64,2017-2-10
75,16,Shipped,,2017-2-10
76,17,Shipped,55,2017-2-10
77,1,Shipped,60,2017-1-2
78,2,Pending,64,2015-12-14
84,3,Shipped,64,2015-12-1
85,4,Pending,55,2016-12-1
86,5,Pending,60,2016-11-30
88,6,Shipped,61,2017-11-1
89,7,Shipped,55,2015-10-27
90,8,Pending,55,2015-10-28
91,9,Pending,56,2016-10-28
92,44,Shipped,59,2015-10-28
95,45,Shipped,59,2016-9-19
96,46,Shipped,56,2016-9-14
97,47,Canceled,60,2016-7-12
98,48,Shipped,55,2017-3-18
99,49,Shipped,60,2017-1-7
100,16,Pending,54,2017-1-5
103,17,Pending,64,2016-2-8
104,18,Shipped,60,2017-2-1
