9,8,93,132,2116.72
10,9,119,107,899.99
14,8,238,64,741.78
16,9,135,76,127.88
18,8,136,32,826.99
19,10,200,93,620.95
22,13,281,73,864.98
25,8,2,65,2554.99
27,13,111,102,827.37
28,8,40,105,299.89
29,11,115,52,699.99
31,6,171,103,382.98
32,6,102,147,2042.69
33,8,13,75,704.99
34,6,101,62,635.99
35,5,186,41,1449.98
36,8,141,144,419.99
39,9,144,125,289.79
40,11,184,88,999.99
41,9,55,61,150.99
42,7,139,149,65.92
46,11,89,119,749.99
51,2,7,64,680.99
53,4,177,96,1759.99
58,12,62,148,789.79
59,9,154,82,1204.98
64,2,126,52,640.99
65,6,262,118,1449.99
66,9,279,90,1318.99
67,10,239,45,739.99
68,9,177,84,1759.99
69,9,261,55,1504.99
70,7,32,132,469.99
73,5,192,124,519.99
74,7,27,92,800.74
75,11,6,128,849.99
76,10,95,106,109.99
77,5,271,148,549.59
81,7,79,127,659.99
82,9,284,138,54.99
83,8,174,117,798.26
84,6,131,34,279.99
87,11,271,58,549.59
90,8,92,49,2200.00
91,11,226,77,309.85
93,5,121,141,721.99
94,9,12,33,824.98
99,9,17,144,699.01
102,3,247,149,339.99
104,7,178,145,1999.89
105,6,183,79,899.99
2,9,200,75,620.95
4,8,18,116,799.00
6,7,7,119,680.99
8,9,268,148,47.88
2,1,43,111,298.98
3,1,24,111,66.89
4,1,280,47,149.88
5,1,149,70,282.98
6,1,199,67,647.99
7,1,227,74,305.00
8,1,87,92,759.99
9,1,108,139,849.99
10,1,145,118,287.00
11,1,96,113,141.56
12,1,191,41,573.99
13,1,84,46,440.30
14,1,129,98,734.99
1,1,137,116,469.99
15,1,287,60,329.99
16,1,166,70,1638.89
17,1,149,51,282.98
18,1,213,105,1469.96
19,1,38,53,1199.99
20,1,126,105,640.99
21,1,36,79,1299.99
22,1,83,44,829.99
23,1,202,104,713.99
24,1,121,129,721.99
25,1,43,109,298.98
26,1,200,114,620.95
27,1,71,38,660.00
28,1,31,61,443.72
29,1,7,38,680.99
30,1,235,70,41.99
31,1,101,68,635.99
32,1,251,83,337.81
33,1,55,93,150.99
34,1,185,141,873.98
35,1,174,133,798.26
36,1,204,45,686.99
37,1,35,150,1314.99
38,1,71,90,660.00
39,1,186,116,1449.98
40,1,141,106,419.99
41,1,268,80,47.88
42,1,34,45,417.98
43,1,67,74,863.05
44,1,220,118,759.99
45,1,74,43,701.95
46,1,120,51,892.00
47,1,178,73,1999.89
48,1,165,46,1666.61
49,1,172,104,358.49
50,1,215,49,829.89
51,1,21,34,749.99
52,1,235,123,41.99
53,1,100,130,97.88
54,1,208,73,1199.99
55,1,102,127,2042.69
56,1,84,70,440.30
57,1,224,75,349.99
58,1,64,55,525.99
